smmtext,Text,marstext,smm_loop.thisRepN,smm_loop.thisTrialN,smm_loop.thisN,smm_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mars_loop.thisRepN,mars_loop.thisTrialN,mars_loop.thisN,mars_loop.thisIndex,ageindex.response,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,handdomresp.keys,handdomresp.rt,rating_2.response,rating_2.rt,rating.response,rating.rt,rating_3.response,rating_3.rt,date,frameRate,expName,session,participant,
8.  The effects of stress are positive and should be utilized.,,,0,7,7,7,,,,,,,,,,,,,,,4,0.701,,,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,1.  I've been turning to work or other activities to take my mind off things.,,,,,,0,0,0,0,,,,,,,,,,,,,4,8.148,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,2.  I've been concentrating my efforts on doing something about the situation I'm in.,,,,,,0,1,1,1,,,,,,,,,,,,,3,2.9,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,3.  I've been saying to myself "this isn't real.".,,,,,,0,2,2,2,,,,,,,,,,,,,1,3.3,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,4.  I've been using alcohol or other drugs to make myself feel better.,,,,,,0,3,3,3,,,,,,,,,,,,,4,2.634,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,5.  I've been getting emotional support from others.,,,,,,0,4,4,4,,,,,,,,,,,,,1,4.399,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,6.  I've been giving up trying to deal with it.,,,,,,0,5,5,5,,,,,,,,,,,,,3,6.432,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,7.  I've been taking action to try to make the situation better.,,,,,,0,6,6,6,,,,,,,,,,,,,2,2.367,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,8.  I've been refusing to believe that it has happened.,,,,,,0,7,7,7,,,,,,,,,,,,,3,0.818,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,9.  I've been saying things to let my unpleasant feelings escape.,,,,,,0,8,8,8,,,,,,,,,,,,,4,2.65,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,10.  I’ve been getting help and advice from other people.,,,,,,0,9,9,9,,,,,,,,,,,,,4,1.117,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,11.  I've been using alcohol or other drugs to help me get through it.,,,,,,0,10,10,10,,,,,,,,,,,,,4,3.616,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,"12.  I've been trying to see it in a different light, to make it seem more positive.",,,,,,0,11,11,11,,,,,,,,,,,,,1,4.016,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,13.  I’ve been criticizing myself.,,,,,,0,12,12,12,,,,,,,,,,,,,2,1.917,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,14.  I've been trying to come up with a strategy about what to do.,,,,,,0,13,13,13,,,,,,,,,,,,,3,3.217,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,15.  I've been getting comfort and understanding from someone.,,,,,,0,14,14,14,,,,,,,,,,,,,4,0.901,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,16.  I've been giving up the attempt to cope.,,,,,,0,15,15,15,,,,,,,,,,,,,1,4.05,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,17.  I've been looking for something good in what is happening.,,,,,,0,16,16,16,,,,,,,,,,,,,2,3.117,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,18.  I've been making jokes about it.,,,,,,0,17,17,17,,,,,,,,,,,,,3,3.167,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,"19.  I've been doing something to think about it less, such as going to  movies, watching TV, reading, daydreaming, sleeping, or shopping",,,,,,0,18,18,18,,,,,,,,,,,,,3,4.899,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,20.  I've been accepting the reality of the fact that it has happened.,,,,,,0,19,19,19,,,,,,,,,,,,,1,3.433,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,21.  I've been expressing my negative feelings.,,,,,,0,20,20,20,,,,,,,,,,,,,2,0.917,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,22.  I've been trying to find comfort in my religion or spiritual beliefs.,,,,,,0,21,21,21,,,,,,,,,,,,,1,3.6,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,23.  I’ve been trying to get advice or help from other people about what to do.,,,,,,0,22,22,22,,,,,,,,,,,,,1,3.433,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,24.  I've been learning to live with it.,,,,,,0,23,23,23,,,,,,,,,,,,,1,1.184,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,25.  I've been thinking hard about what steps to take.,,,,,,0,24,24,24,,,,,,,,,,,,,3,2.267,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,26.  I’ve been blaming myself for things that happened.,,,,,,0,25,25,25,,,,,,,,,,,,,4,0.951,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,27.  I've been praying or meditating.,,,,,,0,26,26,26,,,,,,,,,,,,,2,3.466,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,28.  I've been making fun of the situation,,,,,,0,27,27,27,,,,,,,,,,,,,2,3.916,,,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,1. Taking an examination (final) in a mathematics course.,,,,,,,,,0,0,0,0,,,,,,,,,,,3,3.599,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,2. Thinking about an upcoming mathematics test one week before,,,,,,,,,0,1,1,1,,,,,,,,,,,4,2.333,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,3. Thinking about an upcoming mathematics test one day before.,,,,,,,,,0,2,2,2,,,,,,,,,,,1,2.417,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,4. Thinking about an upcoming mathematics test one hour before.,,,,,,,,,0,3,3,3,,,,,,,,,,,2,2.6,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,5. Thinking about an upcoming mathematics test five minutes before.,,,,,,,,,0,4,4,4,,,,,,,,,,,3,2.017,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,6. Waiting to get a mathematics test returned in which you expected to do well.,,,,,,,,,0,5,5,5,,,,,,,,,,,4,8.581,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,7. Receiving your final mathematics grade in the mail.,,,,,,,,,0,6,6,6,,,,,,,,,,,3,2.1,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,8. Realizing that you have to take a number of mathematics classes to fulfill the requirements in your major.,,,,,,,,,0,7,7,7,,,,,,,,,,,2,1.067,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,9. Being given a "pop" quiz in a mathematics class.,,,,,,,,,0,8,8,8,,,,,,,,,,,1,1.634,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,10. Studying for a mathematics test.,,,,,,,,,0,9,9,9,,,,,,,,,,,1,1.517,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,11. Taking the mathematics section of a college entrance examination.,,,,,,,,,0,10,10,10,,,,,,,,,,,1,0.784,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,12. Taking an examination (quiz) in a mathematics course.,,,,,,,,,0,11,11,11,,,,,,,,,,,2,0.684,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,13. Picking up the mathematics textbook to begin working on a homework assignment.,,,,,,,,,0,12,12,12,,,,,,,,,,,3,2.251,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,14. Being given a homework assignment of many difficult problems which is due the next class meeting.,,,,,,,,,0,13,13,13,,,,,,,,,,,2,0.617,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,15. Getting ready to study for a mathematics test.,,,,,,,,,0,14,14,14,,,,,,,,,,,3,0.717,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,16. Dividing a five digit number by a two digit number in private with pencil and paper.,,,,,,,,,0,15,15,15,,,,,,,,,,,2,2.25,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,17. Adding 976 + 777 on paper.,,,,,,,,,0,16,16,16,,,,,,,,,,,4,5.332,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,18. Reading a cash register receipt.,,,,,,,,,0,17,17,17,,,,,,,,,,,2,2.167,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,19. Figuring the sales tax on a purchase that costs more than $1.00.,,,,,,,,,0,18,18,18,,,,,,,,,,,1,2.833,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,20. Figuring out your monthly budget.,,,,,,,,,0,19,19,19,,,,,,,,,,,1,3.233,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,21. Being given a set of numerical problems involving addition to solve on paper.,,,,,,,,,0,20,20,20,,,,,,,,,,,1,5.582,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,22. Having someone watch you as you total up a column of figures.,,,,,,,,,0,21,21,21,,,,,,,,,,,3,68.158,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,23. Totaling up a dinner bill that you think overcharged you.,,,,,,,,,0,22,22,22,,,,,,,,,,,3,1.2,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,24. Being responsible  for collecting dues for an organization and keeping track of the amount.,,,,,,,,,0,23,23,23,,,,,,,,,,,4,0.701,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,"25. Studying for a driver's license test and memorizing the figures involved, such as the distances it takes to stop a car going at different speeds.",,,,,,,,,0,24,24,24,,,,,,,,,,,3,0.667,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,26. Totaling up the dues received and the expenses of a club you belong to.,,,,,,,,,0,25,25,25,,,,,,,,,,,2,0.584,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,27. Watching someone work with a calculator.,,,,,,,,,0,26,26,26,,,,,,,,,,,1,1.234,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,28. Being given a set of division problems to solve.,,,,,,,,,0,27,27,27,,,,,,,,,,,2,0.901,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,29. Being given a set of subtraction problems to solve.,,,,,,,,,0,28,28,28,,,,,,,,,,,3,1.417,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
,,30. Being given a set of multiplication problems to solve.,,,,,,,,,0,29,29,29,,,,,,,,,,,4,0.767,2016_Nov_11_1330,60.0331268741,SMM-Brief COPE,01,mike,
